Total_GWh
27462.9
28550.7
29882.0
32601.1
33915.8
35239.1
37264.3
38527.7
39634.7
41871.5
42968.7
45140.7
46424.9
47529.3
47891.0
49483.8
48289.9
48728.9
48218.5
49406.3
50609.3
51731.0
51838.0
52040.600000000006
51327.8
51603.2
52662.229999999996
53283.18978493628
54130.75428401639
55379.4862651722
54699.54692609487
53843.3567488885
54828.96575102169
